1F1E6 1F1E8   ; Emoji_Flag_Sequence       ; Ascension Island                                               #  6.0  [1] (🇦🇨)
1F1FB 1F1E6   ; Emoji_Flag_Sequence       ; Vatican City                                                   #  6.0  [1] (🇻🇦)
1F1FB 1F1E8   ; Emoji_Flag_Sequence       ; St. Vincent & Grenadines                                       #  6.0  [1] (🇻🇨)
1F1FB 1F1EA   ; Emoji_Flag_Sequence       ; Venezuela                                                      #  6.0  [1] (🇻🇪)
1F1FB 1F1EC   ; Emoji_Flag_Sequence       ; British Virgin Islands                                         #  6.0  [1] (🇻🇬)
1F1FB 1F1EE   ; Emoji_Flag_Sequence       ; U.S. Virgin Islands                                            #  6.0  [1] (🇻🇮)
1F1FB 1F1F3   ; Emoji_Flag_Sequence       ; Vietnam                                                        #  6.0  [1] (🇻🇳)
1F1FB 1F1FA   ; Emoji_Flag_Sequence       ; Vanuatu                                                        #  6.0  [1] (🇻🇺)
1F1FC 1F1EB   ; Emoji_Flag_Sequence       ; Wallis & Futuna                                                #  6.0  [1] (🇼🇫)
1F1FC 1F1F8   ; Emoji_Flag_Sequence       ; Samoa                                                          #  6.0  [1] (🇼🇸)
1F1FD 1F1F0   ; Emoji_Flag_Sequence       ; Kosovo                                                         #  6.0  [1] (🇽🇰)
1F1FE 1F1EA   ; Emoji_Flag_Sequence       ; Yemen                                                          #  6.0  [1] (🇾🇪)
1F1FE 1F1F9   ; Emoji_Flag_Sequence       ; Mayotte                                                        #  6.0  [1] (🇾🇹)
1F1FF 1F1E6   ; Emoji_Flag_Sequence       ; South Africa                                                   #  6.0  [1] (🇿🇦)
1F1FF 1F1F2   ; Emoji_Flag_Sequence       ; Zambia                                                         #  6.0  [1] (🇿🇲)
1F1FF 1F1FC   ; Emoji_Flag_Sequence       ; Zimbabwe                                                       #  6.0  [1] (🇿🇼)
